duplicate_type,group_id,record_id,title,fronturl,category_teacher,group_size
title_text_exact,1,38497,Антонов предупредил США о последствиях ядерной войны,https://www.rbc.ru/politics/14/09/2024/66e4d1a69a794714a2dc3327,Политика,2
title_text_exact,1,38498,Антонов предупредил США о последствиях ядерной войны,https://www.rbc.ru/rbcfreenews/66e4d1a69a794714a2dc3327,Политика,2
title_text_exact,2,174,"В Аргентине задержали россиянку, подозреваемую в мошенничестве на $2 млн",https://www.rbc.ru/politics/03/01/2024/6594e46f9a794741e1eaa9b1,Политика,2
title_text_exact,2,175,"В Аргентине задержали россиянку, подозреваемую в мошенничестве на $2 млн",https://www.rbc.ru/rbcfreenews/6594e46f9a794741e1eaa9b1,Политика,2
title_text_exact,3,1426,В конгрессе США согласовали временное финансирование правительства,https://www.rbc.ru/rbcfreenews/65a4ccdb9a794765d1b6fd81,Политика,2
title_text_exact,3,1427,В конгрессе США согласовали временное финансирование правительства,https://www.rbc.ru/politics/15/01/2024/65a4ccdb9a794765d1b6fd81,Политика,2
title_text_exact,4,37216,Мутко для РБК,https://www.rbc.ru/?video_id=66d9af089a7947789518ebb7,,2
title_text_exact,4,37217,Мутко для РБК,https://www.rbc.ru/?video_id=66d9af049a79471c43e1ee7e,,2
title_text_exact,5,36989,Путин предложил провести встречу с Си Цзиньпином на саммите БРИКС-2024,https://www.rbc.ru/politics/04/09/2024/66d818989a79475f96509aca,Политика,2
title_text_exact,5,36990,Путин предложил провести встречу с Си Цзиньпином на саммите БРИКС-2024,https://www.rbc.ru/rbcfreenews/66d818989a79475f96509aca,Политика,2
title_text_exact,6,36993,Путин призвал обеспечить жильем морских пехотинцев,https://www.rbc.ru/politics/04/09/2024/66d8227f9a7947f072bd379e,Политика,2
title_text_exact,6,36994,Путин призвал обеспечить жильем морских пехотинцев,https://www.rbc.ru/rbcfreenews/66d8227f9a7947f072bd379e,Политика,2
title_text_exact,7,38493,Фигурант дела об аварии в котельной в Подольске частично признал вину,https://www.rbc.ru/society/14/09/2024/66e4c94a9a794703d7691eb2,Общество,2
title_text_exact,7,38494,Фигурант дела об аварии в котельной в Подольске частично признал вину,https://www.rbc.ru/rbcfreenews/66e4c94a9a794703d7691eb2,Общество,2
normalized_title,8,38497,Антонов предупредил США о последствиях ядерной войны,https://www.rbc.ru/politics/14/09/2024/66e4d1a69a794714a2dc3327,Политика,2
normalized_title,8,38498,Антонов предупредил США о последствиях ядерной войны,https://www.rbc.ru/rbcfreenews/66e4d1a69a794714a2dc3327,Политика,2
normalized_title,9,6915,Армения и Азербайджан обвинили друг друга в обстрелах,https://www.rbc.ru/rbcfreenews/65d9fbd79a79475624e4344c,Политика,2
normalized_title,9,13109,Армения и Азербайджан обвинили друг друга в обстрелах,https://www.rbc.ru/rbcfreenews/661026119a794712375b82a9,Политика,2
normalized_title,10,743,Богомаз сообщил о сбитом над Брянской областью беспилотнике,https://www.rbc.ru/rbcfreenews/659d55c59a794779d482dd57,Политика,3
normalized_title,10,31706,Богомаз сообщил о сбитом над Брянской областью беспилотнике,https://www.rbc.ru/rbcfreenews/66a9d8539a7947e725203c32,Политика,3
normalized_title,10,42009,Богомаз сообщил о сбитом над Брянской областью беспилотнике,https://www.rbc.ru/rbcfreenews/6702e7249a79476ff8ef24e7,Политика,3
normalized_title,11,11041,Богомаз сообщил об уничтожении дрона над Брянской областью,https://www.rbc.ru/rbcfreenews/65fe3ce19a7947916ae46c25,Политика,2
normalized_title,11,40841,Богомаз сообщил об уничтожении дрона над Брянской областью,https://www.rbc.ru/rbcfreenews/66f86f839a7947c1a6290772,Политика,2
normalized_title,12,4336,Британские ВМС сообщили об атаке на судно у берегов Йемена,https://www.rbc.ru/rbcfreenews/65c1b6f69a794701318b9541,Политика,2
normalized_title,12,23401,Британские ВМС сообщили об атаке на судно у берегов Йемена,https://www.rbc.ru/rbcfreenews/6664f2ae9a794775ba2f385d,Политика,2
normalized_title,13,174,"В Аргентине задержали россиянку, подозреваемую в мошенничестве на $2 млн",https://www.rbc.ru/politics/03/01/2024/6594e46f9a794741e1eaa9b1,Политика,2
normalized_title,13,175,"В Аргентине задержали россиянку, подозреваемую в мошенничестве на $2 млн",https://www.rbc.ru/rbcfreenews/6594e46f9a794741e1eaa9b1,Политика,2
normalized_title,14,42884,В аэропорту Казани временно ограничили полеты,https://www.rbc.ru/society/12/10/2024/670a14ed9a794743b6942b84,Общество,2
normalized_title,14,44133,В аэропорту Казани временно ограничили полеты,https://www.rbc.ru/society/20/10/2024/67149d1b9a794713eb392117,Общество,2
normalized_title,15,9821,В Белгороде в четвертый раз за день объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65f456869a79474e30a06e15,Политика,2
normalized_title,15,32271,В Белгороде в четвертый раз за день объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66ae04bf9a7947e6be319a35,Политика,2
normalized_title,16,4716,В Белгороде второй раз за день объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65c4e6129a7947f1e455abc9,Политика,4
normalized_title,16,11176,В Белгороде второй раз за день объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65ff32af9a7947e14ee6cc61,Политика,4
normalized_title,16,13351,В Белгороде второй раз за день объявили ракетную опасность,https://www.rbc.ru/politics/07/04/2024/6612a69d9a7947764f50e2d7,Политика,4
normalized_title,16,17612,В Белгороде второй раз за день объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66367c549a7947ed05d413dd,Политика,4
normalized_title,17,18086,В Белгороде второй раз за ночь объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/663abcca9a79472c59463405,Политика,4
normalized_title,17,18281,В Белгороде второй раз за ночь объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/663c16139a7947e13fc33521,Политика,4
normalized_title,17,19173,В Белгороде второй раз за ночь объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66440f6e9a79473fa42696f2,Политика,4
normalized_title,17,22277,В Белгороде второй раз за ночь объявили ракетную опасность,https://www.rbc.ru/politics/03/06/2024/665d0ae89a79476dd76d413e,Политика,4
normalized_title,18,3062,В Белгороде запустили сирену ракетной опасности,https://www.rbc.ru/rbcfreenews/65b539bc9a79479b4548c316,Политика,3
normalized_title,18,9732,В Белгороде запустили сирену ракетной опасности,https://www.rbc.ru/rbcfreenews/65f3d9f59a794702d178b568,Политика,3
normalized_title,18,20189,В Белгороде запустили сирену ракетной опасности,https://www.rbc.ru/rbcfreenews/664c1d049a794720a3230a19,Политика,3
normalized_title,19,11737,В Белгороде и Белгородском районе включили сирены ракетной опасности,https://www.rbc.ru/rbcfreenews/660457ae9a7947578babc3a5,Политика,2
normalized_title,19,11923,В Белгороде и Белгородском районе включили сирены ракетной опасности,https://www.rbc.ru/rbcfreenews/660602309a7947f6000ffc50,Политика,2
normalized_title,20,15054,В Белгороде и Белгородском районе запустили сирену ракетной опасности,https://www.rbc.ru/rbcfreenews/66202a8e9a7947845c58d9d2,Политика,2
normalized_title,20,19513,В Белгороде и Белгородском районе запустили сирену ракетной опасности,https://www.rbc.ru/rbcfreenews/66467d2a9a79477bfee7eb0e,Политика,2
normalized_title,21,11045,В Белгороде и Белгородском районе объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65fe54aa9a7947dd0ecf9d94,Политика,2
normalized_title,21,19739,В Белгороде и Белгородском районе объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66483a8b9a7947028793972a,Политика,2
normalized_title,22,9190,В Белгороде и его окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65efc2af9a794765e4c5dc15,Политика,5
normalized_title,22,9448,В Белгороде и его окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65f1887a9a7947cabfa2ab6f,Политика,5
normalized_title,22,9568,В Белгороде и его окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65f28acd9a79479875a302e6,Политика,5
normalized_title,22,10007,В Белгороде и его окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65f67a809a7947c0d3936314,Политика,5
normalized_title,22,10324,В Белгороде и его окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65f942479a7947aea6004ea7,Политика,5
normalized_title,23,22635,В Белгороде и Курской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665f89849a79472f3c0880d2,Политика,3
normalized_title,23,23456,В Белгороде и Курской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66658f8f9a79473cc364f058,Политика,3
normalized_title,23,32258,В Белгороде и Курской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66ade7cf9a79475db5d221ba,Политика,3
normalized_title,24,10142,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65f7d2bf9a79471d47fde09d,Политика,24
normalized_title,24,10518,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65faa0b09a7947844e7c6e3a,Политика,24
normalized_title,24,11476,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/660215f49a7947538882e6d1,Политика,24
normalized_title,24,12402,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/660ab3b89a7947c60d909225,Политика,24
normalized_title,24,15443,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/662343b59a7947c5a408a4fc,Политика,24
normalized_title,24,15749,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/22/04/2024/66265acb9a7947173ca2eb6e,Политика,24
normalized_title,24,16400,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/26/04/2024/662ae24b9a79474247410264,Политика,24
normalized_title,24,18529,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/11/05/2024/663e8b3f9a7947baa528b505,Политика,24
normalized_title,24,18629,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/663f9b579a7947271d82b332,Политика,24
normalized_title,24,18665,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/664015dc9a794710fdb4f405,Политика,24
normalized_title,24,18986,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6642c5d89a794722cb9fa613,Политика,24
normalized_title,24,19390,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6645c1c89a79471aeaefbd09,Политика,24
normalized_title,24,19718,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/18/05/2024/6647d9a79a794743c7b30496,Политика,24
normalized_title,24,20510,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/23/05/2024/664eb04f9a79476df58bf77d,Политика,24
normalized_title,24,22028,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665ae4039a79472117be61c1,Политика,24
normalized_title,24,22156,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665c14a89a7947010fee526f,Политика,24
normalized_title,24,22403,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665de9c59a7947d689be5020,Общество,24
normalized_title,24,23102,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6662a6f99a79472198912c70,Политика,24
normalized_title,24,23294,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6663e01e9a7947d5947b6fcb,Политика,24
normalized_title,24,24428,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/666de0cd9a7947234ef50edc,Политика,24
normalized_title,24,24969,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6672909f9a7947adefe20306,Политика,24
normalized_title,24,26052,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/667b546a9a79475841ae75d1,Политика,24
normalized_title,24,26274,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/667d1ba29a794765e3183895,Политика,24
normalized_title,24,28544,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/668fbbf09a79473acfe4fe08,Политика,24
normalized_title,25,5395,В Белгороде и районе объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65cbde7a9a794763c51f8cad,Политика,3
normalized_title,25,8922,В Белгороде и районе объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65ed48dc9a794744bd21b03f,Политика,3
normalized_title,25,11605,В Белгороде и районе объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/660336199a7947d2284d7db4,Политика,3
normalized_title,26,18797,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/politics/13/05/2024/66413c299a794759eb3ebffb,Политика,12
normalized_title,26,20820,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6650e0749a79472a89e00bdc,Политика,12
normalized_title,26,23719,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6667e1ce9a7947741c25c0d2,Политика,12
normalized_title,26,25095,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/667382819a79474ce9582b81,Политика,12
normalized_title,26,25428,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66766e819a7947a9e74b7e8b,Политика,12
normalized_title,26,26230,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/667c9a969a79471c1e88b39d,Политика,12
normalized_title,26,30063,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/669c62e49a79476b0c8a1f30,Политика,12
normalized_title,26,31123,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66a4b1349a7947fff1afb94e,Политика,12
normalized_title,26,32069,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66ac70fa9a7947f8d8772019,Политика,12
normalized_title,26,32617,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66b141df9a7947f3be441ef1,Политика,12
normalized_title,26,32993,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66b3f87f9a7947115890cedc,Политика,12
normalized_title,26,36942,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66d7ba569a79475f0ecd0bd5,Политика,12
normalized_title,27,2598,В Белгороде объявили о ракетной опасности,https://www.rbc.ru/rbcfreenews/65b0c7999a7947019b16ec48,Политика,2
normalized_title,27,7993,В Белгороде объявили о ракетной опасности,https://www.rbc.ru/politics/03/03/2024/65e43e909a7947cae49a7a7b,Политика,2
normalized_title,28,1823,В Белгороде объявили ракетную опасность,https://www.rbc.ru/politics/18/01/2024/65a8a14e9a79470cab81f650,Политика,28
normalized_title,28,4549,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65c388269a79474566ae7576,Политика,28
normalized_title,28,4969,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65c76be49a79472954d256a3,Политика,28
normalized_title,28,5619,В Белгороде объявили ракетную опасность,https://www.rbc.ru/politics/15/02/2024/65cdd7e99a794783857272ad,Политика,28
normalized_title,28,8411,В Белгороде объявили ракетную опасность,https://www.rbc.ru/politics/06/03/2024/65e808999a79478359e5bb62,Политика,28
normalized_title,28,9591,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65f2b9729a79473961bdeaf2,Политика,28
normalized_title,28,9840,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65f476959a79477e634f4e77,Политика,28
normalized_title,28,12476,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/660b62c19a79477312472762,Политика,28
normalized_title,28,13004,В Белгороде объявили ракетную опасность,https://www.rbc.ru/politics/05/04/2024/660fad349a794774d0c2cf22,Политика,28
normalized_title,28,13158,В Белгороде объявили ракетную опасность,https://www.rbc.ru/politics/06/04/2024/6610b80e9a794756a0a19184,Политика,28
normalized_title,28,16975,В Белгороде объявили ракетную опасность,https://www.rbc.ru/politics/30/04/2024/66301d559a7947290af46d29,Политика,28
normalized_title,28,17689,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/663774d89a79475c684af17a,Политика,28
normalized_title,28,18078,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/663a98fa9a79478c6c655c67,Политика,28
normalized_title,28,18273,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/663bf5769a7947b8d25f8951,Политика,28
normalized_title,28,18391,В Белгороде объявили ракетную опасность,https://www.rbc.ru/politics/10/05/2024/663d3f359a79474a05709ad3,Политика,28
normalized_title,28,18917,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66421ed99a794775d936c74c,Политика,28
normalized_title,28,19021,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/664311839a79472a16ad8ca1,Политика,28
normalized_title,28,19162,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6643df0a9a79474f9a443136,Политика,28
normalized_title,28,19747,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/664857669a794757a81f4456,Политика,28
normalized_title,28,20355,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/664d87ce9a794744fce6076d,Политика,28
normalized_title,28,21436,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665630509a79477d65721de6,Политика,28
normalized_title,28,22005,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665aae809a79476c1075a5d3,Политика,28
normalized_title,28,22062,В Белгороде объявили ракетную опасность,https://www.rbc.ru/politics/01/06/2024/665b266c9a79473af88e709b,Политика,28
normalized_title,28,22257,В Белгороде объявили ракетную опасность,https://www.rbc.ru/politics/02/06/2024/665cdac69a7947988f580efa,Политика,28
normalized_title,28,23423,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/666551a39a7947eab562cb15,Политика,28
normalized_title,28,23715,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6667d9b09a7947774ffbac95,Политика,28
normalized_title,28,26628,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/667fd3199a79471789cf8c3e,Политика,28
normalized_title,28,26734,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/668106499a7947304df42cbf,Политика,28
normalized_title,29,19104,В Белгороде объявлена ракетная опасность,https://www.rbc.ru/rbcfreenews/6643696d9a794787f03ea7ca,Политика,2
normalized_title,29,19115,В Белгороде объявлена ракетная опасность,https://www.rbc.ru/rbcfreenews/664379a19a79477232dc9b08,Политика,2
normalized_title,30,19766,В Белгороде прогремели взрывы,https://www.rbc.ru/politics/18/05/2024/6648762e9a7947ed8650ac6d,Политика,3
normalized_title,30,25682,В Белгороде прогремели взрывы,https://www.rbc.ru/rbcfreenews/6678a07b9a79474209bc4f8a,Политика,3
normalized_title,30,36373,В Белгороде прогремели взрывы,https://www.rbc.ru/politics/30/08/2024/66d1ff6b9a7947855c6d5d54,Политика,3
normalized_title,31,12953,В Белгородской и Курской областях объявили опасность атаки дронов,https://www.rbc.ru/rbcfreenews/660f160a9a794764e2e604f6,Политика,2
normalized_title,31,29754,В Белгородской и Курской областях объявили опасность атаки дронов,https://www.rbc.ru/rbcfreenews/66998df09a794713bbc0b4e2,Политика,2
normalized_title,32,28974,В Белгородской и Курской областях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66935f5b9a794750c2e0f30d,Политика,4
normalized_title,32,32306,В Белгородской и Курской областях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66ae5a6f9a794753a400dc43,Политика,4
normalized_title,32,35784,В Белгородской и Курской областях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66cd12969a79473bcef48b87,Политика,4
normalized_title,32,38752,В Белгородской и Курской областях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66e7a6f29a79474764d884c6,Политика,4
normalized_title,33,32229,В Белгородской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/66ad80ed9a7947e2e2e422a6,Политика,2
normalized_title,33,33008,В Белгородской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/66b424209a7947147e9fee9c,Политика,2
normalized_title,34,20688,В Белгородской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66500ef39a79470a2c374d3d,Политика,7
normalized_title,34,21405,В Белгородской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665605129a7947254c944b57,Политика,7
normalized_title,34,23344,В Белгородской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/666454a09a794740122ce546,Политика,7
normalized_title,34,26253,В Белгородской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/667cf7979a794724b73b7b63,Политика,7
normalized_title,34,32058,В Белгородской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66ac579a9a7947209c3acc4d,Политика,7
normalized_title,34,32477,В Белгородской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66b0384f9a7947effed8fc9c,Политика,7
normalized_title,34,33487,В Белгородской области объявили ракетную опасность,https://www.rbc.ru/politics/11/08/2024/66b803ec9a79476919db4e63,Политика,7
normalized_title,35,3948,В Белгородской области сбили беспилотник,https://www.rbc.ru/rbcfreenews/65bd9c259a79475273e0ede2,Политика,2
normalized_title,35,17965,В Белгородской области сбили беспилотник,https://www.rbc.ru/rbcfreenews/6639ed869a794761b5ebd6a4,Политика,2
normalized_title,36,7126,В Белгородской области сбили украинский беспилотник,https://www.rbc.ru/rbcfreenews/65dc563b9a7947b6e8732f74,Политика,3
normalized_title,36,12271,В Белгородской области сбили украинский беспилотник,https://www.rbc.ru/rbcfreenews/66097e169a7947a1e69ab441,Политика,3
