conflict_type,record_id,related_record_id,title,fronturl,category_teacher,other_category_teacher,score
exact_normalized_title_label_conflict,10142,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65f7d2bf9a79471d47fde09d,Политика,Общество | Политика,
exact_normalized_title_label_conflict,10518,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65faa0b09a7947844e7c6e3a,Политика,Общество | Политика,
exact_normalized_title_label_conflict,11476,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/660215f49a7947538882e6d1,Политика,Общество | Политика,
exact_normalized_title_label_conflict,12402,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/660ab3b89a7947c60d909225,Политика,Общество | Политика,
exact_normalized_title_label_conflict,15443,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/662343b59a7947c5a408a4fc,Политика,Общество | Политика,
exact_normalized_title_label_conflict,15749,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/22/04/2024/66265acb9a7947173ca2eb6e,Политика,Общество | Политика,
exact_normalized_title_label_conflict,16400,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/26/04/2024/662ae24b9a79474247410264,Политика,Общество | Политика,
exact_normalized_title_label_conflict,18529,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/11/05/2024/663e8b3f9a7947baa528b505,Политика,Общество | Политика,
exact_normalized_title_label_conflict,18629,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/663f9b579a7947271d82b332,Политика,Общество | Политика,
exact_normalized_title_label_conflict,18665,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/664015dc9a794710fdb4f405,Политика,Общество | Политика,
exact_normalized_title_label_conflict,18986,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6642c5d89a794722cb9fa613,Политика,Общество | Политика,
exact_normalized_title_label_conflict,19390,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6645c1c89a79471aeaefbd09,Политика,Общество | Политика,
exact_normalized_title_label_conflict,19718,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/18/05/2024/6647d9a79a794743c7b30496,Политика,Общество | Политика,
exact_normalized_title_label_conflict,20510,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/23/05/2024/664eb04f9a79476df58bf77d,Политика,Общество | Политика,
exact_normalized_title_label_conflict,22028,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665ae4039a79472117be61c1,Политика,Общество | Политика,
exact_normalized_title_label_conflict,22156,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665c14a89a7947010fee526f,Политика,Общество | Политика,
exact_normalized_title_label_conflict,22403,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665de9c59a7947d689be5020,Общество,Общество | Политика,
exact_normalized_title_label_conflict,23102,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6662a6f99a79472198912c70,Политика,Общество | Политика,
exact_normalized_title_label_conflict,23294,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6663e01e9a7947d5947b6fcb,Политика,Общество | Политика,
exact_normalized_title_label_conflict,24428,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/666de0cd9a7947234ef50edc,Политика,Общество | Политика,
exact_normalized_title_label_conflict,24969,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6672909f9a7947adefe20306,Политика,Общество | Политика,
exact_normalized_title_label_conflict,26052,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/667b546a9a79475841ae75d1,Политика,Общество | Политика,
exact_normalized_title_label_conflict,26274,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/667d1ba29a794765e3183895,Политика,Общество | Политика,
exact_normalized_title_label_conflict,28544,,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/668fbbf09a79473acfe4fe08,Политика,Общество | Политика,
exact_normalized_title_label_conflict,9259,,В Иваново потерпел крушение военно-транспортный самолет Ил-76,https://www.rbc.ru/politics/12/03/2024/65f031fc9a7947c566adab2f,Политика,Общество | Политика,
exact_normalized_title_label_conflict,9265,,В Иваново потерпел крушение военно-транспортный самолет Ил-76,https://www.rbc.ru/society/12/03/2024/65f032889a794735869df88a,Общество,Общество | Политика,
exact_normalized_title_label_conflict,12502,,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/660ba9a29a794731cc61934e,Политика,Общество | Политика,
exact_normalized_title_label_conflict,13646,,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/661508569a79474a11a55d51,Общество,Общество | Политика,
exact_normalized_title_label_conflict,13936,,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/661718d29a79478e72777762,Политика,Общество | Политика,
exact_normalized_title_label_conflict,14905,,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/661f2dcf9a79470c1329b0bd,Политика,Общество | Политика,
