left_record_id,right_record_id,left_title,right_title,left_fronturl,right_fronturl,left_category_teacher,right_category_teacher,title_similarity,combined_similarity,bucket_type
38497,38498,Антонов предупредил США о последствиях ядерной войны,Антонов предупредил США о последствиях ядерной войны,https://www.rbc.ru/politics/14/09/2024/66e4d1a69a794714a2dc3327,https://www.rbc.ru/rbcfreenews/66e4d1a69a794714a2dc3327,Политика,Политика,100.0,100.0,title_bucket
174,175,"В Аргентине задержали россиянку, подозреваемую в мошенничестве на $2 млн","В Аргентине задержали россиянку, подозреваемую в мошенничестве на $2 млн",https://www.rbc.ru/politics/03/01/2024/6594e46f9a794741e1eaa9b1,https://www.rbc.ru/rbcfreenews/6594e46f9a794741e1eaa9b1,Политика,Политика,100.0,100.0,title_bucket
1426,1427,В конгрессе США согласовали временное финансирование правительства,В конгрессе США согласовали временное финансирование правительства,https://www.rbc.ru/rbcfreenews/65a4ccdb9a794765d1b6fd81,https://www.rbc.ru/politics/15/01/2024/65a4ccdb9a794765d1b6fd81,Политика,Политика,100.0,100.0,title_bucket
37216,37217,Мутко для РБК,Мутко для РБК,https://www.rbc.ru/?video_id=66d9af089a7947789518ebb7,https://www.rbc.ru/?video_id=66d9af049a79471c43e1ee7e,,,100.0,100.0,title_bucket
25282,28844,Правительство смягчило требования по продаже валютной выручки,Правительство смягчило требования по продаже валютной выручки,https://www.rbc.ru/politics/21/06/2024/667526759a7947ebcac774e5,https://www.rbc.ru/economics/13/07/2024/669227079a7947ff610f4889,Политика,Экономика,100.0,100.0,title_bucket
36989,36990,Путин предложил провести встречу с Си Цзиньпином на саммите БРИКС-2024,Путин предложил провести встречу с Си Цзиньпином на саммите БРИКС-2024,https://www.rbc.ru/politics/04/09/2024/66d818989a79475f96509aca,https://www.rbc.ru/rbcfreenews/66d818989a79475f96509aca,Политика,Политика,100.0,100.0,title_bucket
36993,36994,Путин призвал обеспечить жильем морских пехотинцев,Путин призвал обеспечить жильем морских пехотинцев,https://www.rbc.ru/politics/04/09/2024/66d8227f9a7947f072bd379e,https://www.rbc.ru/rbcfreenews/66d8227f9a7947f072bd379e,Политика,Политика,100.0,100.0,title_bucket
38493,38494,Фигурант дела об аварии в котельной в Подольске частично признал вину,Фигурант дела об аварии в котельной в Подольске частично признал вину,https://www.rbc.ru/society/14/09/2024/66e4c94a9a794703d7691eb2,https://www.rbc.ru/rbcfreenews/66e4c94a9a794703d7691eb2,Общество,Общество,100.0,100.0,title_bucket
1206,3656,Движение автомобилей по Крымскому мосту приостанавливали,Движение автомобилей по Крымскому мосту приостановили,https://www.rbc.ru/rbcfreenews/65baf8799a79479f4bcd9b9a,https://www.rbc.ru/rbcfreenews/65a219a19a79471d97942610,Общество,Общество,95.41284403669725,99.15397631133672,title_bucket
8224,8225,В Одессе и области прогремела серия взрывов,В Одессе и области прогремели взрывы,https://www.rbc.ru/politics/05/03/2024/65e649d99a7947507c862e39,https://www.rbc.ru/rbcfreenews/65e649d99a7947507c862e39,Политика,Политика,88.60759493670886,98.3957219251337,content_bucket
15054,19513,В Белгороде и Белгородском районе запустили сирену ракетной опасности,В Белгороде и Белгородском районе запустили сирену ракетной опасности,https://www.rbc.ru/rbcfreenews/66202a8e9a7947845c58d9d2,https://www.rbc.ru/rbcfreenews/66467d2a9a79477bfee7eb0e,Политика,Политика,100.0,97.09677419354838,title_bucket
30547,31667,В Курской области объявили ракетную опасность,В Курской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66a073629a7947fda677e2ac,https://www.rbc.ru/rbcfreenews/66a96d969a79476e95362bf6,Политика,Политика,100.0,95.8041958041958,title_bucket
33904,35220,В Воронежской области предупредили об угрозе атаки беспилотников,В Воронежской области предупредили об угрозе атаки беспилотников,https://www.rbc.ru/politics/13/08/2024/66bbb0a99a79472b5b23c4f1,https://www.rbc.ru/rbcfreenews/66c7bc159a794760b5244791,Политика,Политика,100.0,95.73770491803279,title_bucket
15749,16400,В Белгороде и окрестностях объявили ракетную опасность,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/22/04/2024/66265acb9a7947173ca2eb6e,https://www.rbc.ru/politics/26/04/2024/662ae24b9a79474247410264,Политика,Политика,100.0,95.25423728813558,title_bucket
35529,38943,Минобороны отчиталось о выполнении 33 запросов от приграничных регионов,Минобороны отчиталось о выполнении 90 запросов от приграничных регионов,https://www.rbc.ru/politics/25/08/2024/66cadf679a79470248d4b6b5,https://www.rbc.ru/rbcfreenews/66e935439a79472223dcdd39,Политика,Политика,97.1830985915493,94.87179487179486,title_bucket
32993,36942,В Белгороде и Шебекино объявили ракетную опасность,В Белгороде и Шебекино объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66b3f87f9a7947115890cedc,https://www.rbc.ru/rbcfreenews/66d7ba569a79475f0ecd0bd5,Политика,Политика,100.0,94.50171821305841,title_bucket
9482,17140,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/65f1b17d9a79470ca9a7a697,https://www.rbc.ru/rbcfreenews/663228e19a79475a3377aca4,Политика,Политика,100.0,93.93939393939394,title_bucket
16400,18529,В Белгороде и окрестностях объявили ракетную опасность,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/26/04/2024/662ae24b9a79474247410264,https://www.rbc.ru/politics/11/05/2024/663e8b3f9a7947baa528b505,Политика,Политика,100.0,93.89830508474576,title_bucket
22403,23102,В Белгороде и окрестностях объявили ракетную опасность,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665de9c59a7947d689be5020,https://www.rbc.ru/rbcfreenews/6662a6f99a79472198912c70,Общество,Политика,100.0,93.22033898305084,title_bucket
3096,5428,КНДР запустила несколько крылатых ракет в сторону Японского моря,КНДР запустила несколько крылатых ракет в сторону Японского моря,https://www.rbc.ru/rbcfreenews/65b5bff39a79474a3c7578e2,https://www.rbc.ru/rbcfreenews/65cc42a39a7947d7b69b7af5,Политика,Политика,100.0,92.78688524590164,title_bucket
10007,10324,В Белгороде и его окрестностях объявили ракетную опасность,В Белгороде и его окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65f67a809a7947c0d3936314,https://www.rbc.ru/rbcfreenews/65f942479a7947aea6004ea7,Политика,Политика,100.0,92.64214046822742,title_bucket
15749,18529,В Белгороде и окрестностях объявили ракетную опасность,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/22/04/2024/66265acb9a7947173ca2eb6e,https://www.rbc.ru/politics/11/05/2024/663e8b3f9a7947baa528b505,Политика,Политика,100.0,92.54237288135593,title_bucket
363,2226,В Севастополе объявили воздушную тревогу,В Севастополе объявили воздушную тревогу,https://www.rbc.ru/rbcfreenews/6597bc9d9a794741155fae45,https://www.rbc.ru/rbcfreenews/65acec8c9a794724045f403d,Политика,Политика,100.0,92.52669039145907,title_bucket
30529,36395,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/66a033c69a7947703fccdb27,https://www.rbc.ru/rbcfreenews/66d232ca9a794776547df536,Политика,Политика,100.0,92.25589225589226,title_bucket
